"id","aphiaid_worms","name_aphia_worms","environment_aphia_worms"
55316,100492,"Aspergillus fumigatus","Marine/Terrestrial/Brackish/Freshwater"
55459,147593,"Saccharomyces cerevisiae","Marine/Terrestrial/Brackish/Freshwater"
21702,178078,"Streptomyces","Marine/Brackish"
55896,100537,"Penicillium chrysogenum","Marine/Terrestrial"
56054,178078,"Streptomyces","Marine/Brackish"
55648,212186,"Gelidium amansii","Marine"
56725,100234,"Paecilomyces","Marine/Terrestrial/Brackish/Freshwater"
56873,100236,"Penicillium","Marine/Terrestrial/Brackish/Freshwater"
56879,178078,"Streptomyces","Marine/Brackish"
59114,100527,"Gliomastix murorum","Marine"
57106,178078,"Streptomyces","Marine/Brackish"
57108,559765,"Amycolatopsis","Marine"
57150,254497,"Asterias amurensis","Marine"
57169,140818,"Pleurobranchaea meckeli","Marine"
57311,178078,"Streptomyces","Marine/Brackish"
57332,178078,"Streptomyces","Marine/Brackish"
57547,164833,"Agelas mauritiana","Marine"
57946,100236,"Penicillium","Marine/Terrestrial/Brackish/Freshwater"
57993,178063,"Actinomyces","Marine"
58167,100183,"Chaetomium","Marine/Terrestrial/Brackish/Freshwater"
58198,1457195,"Zygosporium","Marine"
58215,100236,"Penicillium","Marine/Terrestrial/Brackish/Freshwater"
58216,100498,"Aspergillus versicolor","Marine"
58358,100211,"Aspergillus","Marine/Terrestrial/Brackish/Freshwater"
58390,178078,"Streptomyces","Marine/Brackish"
58411,564137,"Saprospira grandis","Marine"
58424,100114,"Massarina","Marine"
57715,194087,"Strongylophora hartmani","Marine"
57739,437978,"Phomopsis","Marine"
57798,559792,"Actinomadura","Marine"
7464,100236,"Penicillium","Marine/Terrestrial/Brackish/Freshwater"
58968,100211,"Aspergillus","Marine/Terrestrial/Brackish/Freshwater"
58600,437586,"Xylaria","Marine/Terrestrial"
58621,100236,"Penicillium","Marine/Terrestrial/Brackish/Freshwater"
58771,559780,"Nonomuraea","Marine/Terrestrial/Brackish/Freshwater"
58787,559765,"Amycolatopsis","Marine"
58808,178078,"Streptomyces","Marine/Brackish"
58826,178078,"Streptomyces","Marine/Brackish"
58965,437632,"Aspergillus sydowii","Marine"
58971,1728044,"Talaromyces minioluteus","Marine"
59179,100537,"Penicillium chrysogenum","Marine/Terrestrial"
59192,178078,"Streptomyces","Marine/Brackish"
59202,178078,"Streptomyces","Marine/Brackish"
59375,1415545,"Trichoderma harzianum","Marine"
59384,570642,"Pseudomonas","Marine/Terrestrial/Brackish/Freshwater"
59393,178078,"Streptomyces","Marine/Brackish"
59415,570642,"Pseudomonas","Marine/Terrestrial/Brackish/Freshwater"
59423,393272,"Myrothecium","Marine"
59426,988542,"Leucosporidium","Marine/Terrestrial"
59553,178078,"Streptomyces","Marine/Brackish"
59559,437482,"Cochliobolus","Marine"
59357,559792,"Actinomadura","Marine"
59970,100251,"Verticillium","Marine"
59570,178078,"Streptomyces","Marine/Brackish"
59577,178078,"Streptomyces","Marine/Brackish"
59983,100211,"Aspergillus","Marine/Terrestrial/Brackish/Freshwater"
59984,100236,"Penicillium","Marine/Terrestrial/Brackish/Freshwater"
60005,146558,"Microcystis aeruginosa","Marine/Freshwater"
60137,178078,"Streptomyces","Marine/Brackish"
60140,570642,"Pseudomonas","Marine/Terrestrial/Brackish/Freshwater"
59628,437978,"Phomopsis","Marine"
59768,564757,"Paenibacillus","Marine"
60158,394044,"Salinispora","Marine"
60159,178078,"Streptomyces","Marine/Brackish"
60171,178078,"Streptomyces","Marine/Brackish"
60179,393272,"Myrothecium","Marine"
60184,1728027,"Aspergillus unguis","Marine"
60194,604962,"Xanthomonas","Marine"
60205,393034,"Marinobacter","Marine"
60221,178078,"Streptomyces","Marine/Brackish"
60224,100236,"Penicillium","Marine/Terrestrial/Brackish/Freshwater"
60232,178078,"Streptomyces","Marine/Brackish"
62444,1728021,"Aspergillus flavipes","Marine"
60360,177125,"Eucapsis","Marine/Terrestrial/Freshwater"
60367,178078,"Streptomyces","Marine/Brackish"
60382,178078,"Streptomyces","Marine/Brackish"
60395,393172,"Nostoc","Marine/Terrestrial/Freshwater"
60427,147519,"Phoma","Marine/Terrestrial"
60439,100494,"Aspergillus nidulans","Marine/Terrestrial/Brackish/Freshwater"
60545,178078,"Streptomyces","Marine/Brackish"
60547,100211,"Aspergillus","Marine/Terrestrial/Brackish/Freshwater"
60551,178078,"Streptomyces","Marine/Brackish"
60574,178078,"Streptomyces","Marine/Brackish"
59997,1567930,"Hirsutella","Marine"
60617,415020,"Agrobacterium","Marine/Terrestrial"
60761,206253,"Scytonema","Marine/Terrestrial/Freshwater"
60786,177482,"Synechocystis","Marine/Terrestrial/Brackish/Freshwater"
60824,1591184,"Clavularia fallax","Marine"
60842,559777,"Nocardiopsis","Marine/Terrestrial/Brackish/Freshwater"
60955,178078,"Streptomyces","Marine/Brackish"
60995,392700,"Arthrobacter","Marine"
61177,395672,"Teredinibacter turnerae","Marine"
61195,178078,"Streptomyces","Marine/Brackish"
61198,100218,"Cladosporium","Marine/Terrestrial"
61212,178078,"Streptomyces","Marine/Brackish"
61233,178078,"Streptomyces","Marine/Brackish"
61374,865865,"Paraphaeosphaeria","Marine"
61381,559597,"Micromonospora","Marine/Terrestrial/Brackish/Freshwater"
61392,559771,"Saccharopolyspora","Marine"
61448,100454,"Chaetomium globosum","Marine"
61455,178078,"Streptomyces","Marine/Brackish"
61587,100496,"Aspergillus terreus","Marine/Terrestrial/Brackish/Freshwater"
61594,1728526,"Simplicillium","Marine"
61627,178078,"Streptomyces","Marine/Brackish"
61638,396168,"Pseudovibrio denitrificans","Marine"
61653,100105,"Didymella","Marine/Terrestrial"
61760,100229,"Macrophoma","Marine/Terrestrial"
61765,178078,"Streptomyces","Marine/Brackish"
61768,603321,"Nodosilinea","Marine/Terrestrial/Freshwater"
61787,178078,"Streptomyces","Marine/Brackish"
62023,100236,"Penicillium","Marine/Terrestrial/Brackish/Freshwater"
62026,1457121,"Penicillium piltunense","Marine"
61829,559787,"Streptosporangium","Marine"
62052,146411,"Arthrinium","Marine"
62162,559792,"Actinomadura","Marine"
62164,437632,"Aspergillus sydowii","Marine"
62176,437775,"Penicillium thomii","Marine"
62178,987152,"Torula","Marine"
62188,100208,"Alternaria","Marine/Terrestrial/Freshwater"
62366,570642,"Pseudomonas","Marine/Terrestrial/Brackish/Freshwater"
62398,570349,"Pseudoalteromonas piscicida","Marine"
62431,178078,"Streptomyces","Marine/Brackish"
62565,100218,"Cladosporium","Marine/Terrestrial"
61852,100236,"Penicillium","Marine/Terrestrial/Brackish/Freshwater"
61983,100236,"Penicillium","Marine/Terrestrial/Brackish/Freshwater"
61984,865865,"Paraphaeosphaeria","Marine"
61999,396550,"Actinoalloteichus hymeniacidonis","Marine"
62013,1415546,"Epicoccum nigrum","Marine"
62017,1728097,"Cystobasidium laryngis","Marine"
62578,1469768,"Paradendryphiella salina","Marine"
62580,100537,"Penicillium chrysogenum","Marine/Terrestrial"
62601,1415545,"Trichoderma harzianum","Marine"
62610,100498,"Aspergillus versicolor","Marine"
62615,1726901,"Nocardiopsis dassonvillei","Marine"
62643,178078,"Streptomyces","Marine/Brackish"
62798,178078,"Streptomyces","Marine/Brackish"
62808,100208,"Alternaria","Marine/Terrestrial/Freshwater"
62811,100496,"Aspergillus terreus","Marine/Terrestrial/Brackish/Freshwater"
62829,147519,"Phoma","Marine/Terrestrial"
62838,100214,"Cephalosporium","Marine"
62979,178078,"Streptomyces","Marine/Brackish"
62994,393172,"Nostoc","Marine/Terrestrial/Freshwater"
63004,559765,"Amycolatopsis","Marine"
63019,836613,"Spiromastix","Marine"
63039,178078,"Streptomyces","Marine/Brackish"
63045,438268,"Saccharicola bicolor","Marine"
63049,437621,"Arthrobotrys oligospora","Marine/Terrestrial/Brackish/Freshwater"
63063,393272,"Myrothecium","Marine"
63179,178078,"Streptomyces","Marine/Brackish"
63184,100234,"Paecilomyces","Marine/Terrestrial/Brackish/Freshwater"
63203,1728035,"Penicillium oxalicum","Marine"
63213,100226,"Fusarium","Marine/Terrestrial/Brackish/Freshwater"
63244,100218,"Cladosporium","Marine/Terrestrial"
63247,100211,"Aspergillus","Marine/Terrestrial/Brackish/Freshwater"
63379,1728387,"Bacillus amyloliquefaciens","Marine"
63392,100236,"Penicillium","Marine/Terrestrial/Brackish/Freshwater"
63401,396283,"Salinispora arenicola","Marine"
63411,100220,"Colletotrichum","Marine/Terrestrial"
63417,178078,"Streptomyces","Marine/Brackish"
63423,1726926,"Aspergillus aculeatus","Marine"
63431,100236,"Penicillium","Marine/Terrestrial/Brackish/Freshwater"
63443,1728065,"Lecanicillium fusisporum","Marine"
63448,178078,"Streptomyces","Marine/Brackish"
63456,146549,"Oscillatoria","Marine/Terrestrial/Brackish/Freshwater"
63457,178078,"Streptomyces","Marine/Brackish"
63463,1726920,"Neocucurbitaria unguis-hominis","Marine"
63575,438269,"Stachybotrys chartarum","Marine"
63609,100220,"Colletotrichum","Marine/Terrestrial"
63614,1415554,"Cladosporium cladosporioides","Marine"
63622,100236,"Penicillium","Marine/Terrestrial/Brackish/Freshwater"
63627,100211,"Aspergillus","Marine/Terrestrial/Brackish/Freshwater"
63632,100236,"Penicillium","Marine/Terrestrial/Brackish/Freshwater"
27136,100131,"Emericella","Marine"
203,152068,"Hebella gigas","Marine"
511,668526,"Chondracanthus volans","Marine"
543,177482,"Synechocystis","Marine/Terrestrial/Brackish/Freshwater"
2818,206503,"Dendronephthya","Marine"
4517,1759416,"Schleichera oleosa","Marine/Terrestrial"
13701,832283,"Obelia chinensis","Marine"
28184,212318,"Nardoa tuberculata","Marine"
13731,131849,"Xestospongia","Marine"
60587,178072,"Nocardia","Brackish"
32658,178078,"Streptomyces","Marine/Brackish"
568,415020,"Agrobacterium","Marine/Terrestrial"
590,567953,"Roseobacter denitrificans","Marine"
34666,178078,"Streptomyces","Marine/Brackish"
2562,290893,"Pseudopterogorgia bipinnata","Marine"
2939,570836,"Leminda millecra","Marine"
3326,166805,"Neopetrosia exigua","Marine"
3390,178078,"Streptomyces","Marine/Brackish"
4531,178078,"Streptomyces","Marine/Brackish"
4533,100498,"Aspergillus versicolor","Marine"
4973,146411,"Arthrinium","Marine"
4993,496211,"Laurencia palisada","Marine"
5017,100495,"Aspergillus niger","Marine/Terrestrial/Brackish/Freshwater"
5395,437978,"Phomopsis","Marine"
6160,1650080,"Ficus altispira","Marine"
6175,100234,"Paecilomyces","Marine/Terrestrial/Brackish/Freshwater"
6538,178078,"Streptomyces","Marine/Brackish"
6925,170628,"Polymastia crassa","Marine"
6965,100206,"Acremonium","Marine/Terrestrial"
8171,488036,"Barringtonia","Marine/Terrestrial/Brackish/Freshwater"
7798,1602638,"Axinella brevistyla","Marine"
8935,444497,"Chiromantes haematocheir","Marine"
9364,178078,"Streptomyces","Marine/Brackish"
9755,570653,"Pseudomonas stutzeri","Marine/Terrestrial/Brackish/Freshwater"
10572,735841,"Millepora reticulata","Marine"
10600,438531,"Stachybotrys atra","Marine"
10609,178078,"Streptomyces","Marine/Brackish"
10620,162301,"Hormiscia","Marine"
10967,372160,"Marginisporum aberrans","Marine"
11336,100114,"Massarina","Marine"
10208,171048,"Trachycladus laevispirulifer","Marine"
11757,1406915,"Porella granulosa","Marine"
12190,178078,"Streptomyces","Marine/Brackish"
13356,178072,"Nocardia","Brackish"
11783,375510,"Ochtodes crockeri","Marine"
12150,288528,"Sinularia grandilobata","Marine"
14556,494795,"Acetabularia acetabulum","Marine"
14635,371413,"Plocamium telfairiae","Marine"
15003,1728049,"Oidiodendron griseum","Marine"
13836,215853,"Ecteinascidia thurstoni","Marine"
14159,1442353,"Conus canariensis","Marine"
23940,100496,"Aspergillus terreus","Marine/Terrestrial/Brackish/Freshwater"
15009,131818,"Spongosorites","Marine"
15379,178078,"Streptomyces","Marine/Brackish"
16195,235085,"Bruguiera sexangula","Marine/Terrestrial/Brackish/Freshwater"
16220,290110,"Heterogorgia uatumani","Marine"
24859,131850,"Aka","Marine"
24959,1547226,"Legumen","Marine"
15397,164966,"Dysidea septosa","Marine"
10098,166869,"Petrosia (Strongylophora) corticata","Marine"
16997,496115,"Sargassum crassifolium","Marine"
18551,178072,"Nocardia","Brackish"
60254,100495,"Aspergillus niger","Marine/Terrestrial/Brackish/Freshwater"
17797,1415546,"Epicoccum nigrum","Marine"
17806,178078,"Streptomyces","Marine/Brackish"
18557,1598711,"Astele chilensis","Marine"
19018,570268,"Marinobacter hydrocarbonoclasticus","Marine"
19422,178078,"Streptomyces","Marine/Brackish"
19427,1415545,"Trichoderma harzianum","Marine"
19784,1729468,"Moerella kengii","Marine"
20594,815169,"Phakellia mauritiana","Marine"
21043,501720,"Lithophyllum frutescens","Marine"
23909,1056319,"Aquilaria","Marine"
22198,559597,"Micromonospora","Marine/Terrestrial/Brackish/Freshwater"
22596,178078,"Streptomyces","Marine/Brackish"
22597,147519,"Phoma","Marine/Terrestrial"
22608,178078,"Streptomyces","Marine/Brackish"
22644,559597,"Micromonospora","Marine/Terrestrial/Brackish/Freshwater"
23435,286192,"Eunicella granulata","Marine"
23758,376344,"Laurencia aldingensis","Marine"
23824,178078,"Streptomyces","Marine/Brackish"
23942,559792,"Actinomadura","Marine"
26194,178078,"Streptomyces","Marine/Brackish"
25377,494856,"Sargassum micracanthum","Marine"
25385,497609,"Gloioderma japonicum","Marine"
25780,178072,"Nocardia","Brackish"
25798,100537,"Penicillium chrysogenum","Marine/Terrestrial"
25807,374834,"Perithalia caudata","Marine"
25847,178078,"Streptomyces","Marine/Brackish"
26606,147715,"Lecanora","Marine/Terrestrial"
26982,214242,"Osmundaria fimbriata","Marine"
